[Id: 1NK3MwPZuoYxvNyQB3SmluPuVcyB61oo] 2023/05/23 18:50:17 logger.go:23:  Time: 2023-05-23T18:50:17+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 302.2737ms Bytes_in: 0 Bytes_out: 90

[Id: BFiLPFloDylNwYCW5qrJEt9SIa7F0qBJ] 2023/05/23 18:51:02 logger.go:23:  Time: 2023-05-23T18:51:02+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 332.7884ms Bytes_in: 0 Bytes_out: 90

[Id: eLst0rel2MuMhjBVBOgckXKjGgMLATjJ] 2023/05/23 19:04:32 logger.go:23:  Time: 2023-05-23T19:04:32+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 1.700178s Bytes_in: 0 Bytes_out: 39

[Id: VYNVFdwVcpbeksMbz4oPOnkSNca1ATAP] 2023/05/23 19:04:46 logger.go:23:  Time: 2023-05-23T19:04:46+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 3.3679117s Bytes_in: 0 Bytes_out: 52

[Id: KNC15EKpcnJg3GyejIzjdYQWVfETzqKF] 2023/05/23 19:04:53 logger.go:23:  Time: 2023-05-23T19:04:53+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 3.1773559s Bytes_in: 0 Bytes_out: 52

[Id: tXKPauUtQdbQ4ljvr9ZlMCU0pwbojDQe] 2023/05/23 19:07:32 logger.go:23:  Time: 2023-05-23T19:07:32+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 3.1162466s Bytes_in: 0 Bytes_out: 52

[Id: KVyBwSFvyReR8MmRoRVHmUPM2IaJGxPr] 2023/05/23 19:26:12 logger.go:23:  Time: 2023-05-23T19:26:11+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 453.2728ms Bytes_in: 0 Bytes_out: 39

[Id: s7DBzlWGyBR7pGPcIOx4iExF9KuH1qsG] 2023/05/23 19:26:19 logger.go:23:  Time: 2023-05-23T19:26:19+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 139.1837ms Bytes_in: 0 Bytes_out: 90

[Id: qkIFUBFfZrQrNHG1Spg36ZmPm0nhwj0c] 2023/05/23 19:26:22 logger.go:23:  Time: 2023-05-23T19:26:22+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 154.633ms Bytes_in: 0 Bytes_out: 90

[Id: jQ7wL7kLdirHVZfwNdHmSoWnDk9J5wuD] 2023/05/23 19:37:18 logger.go:23:  Time: 2023-05-23T19:37:18+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 388.7291ms Bytes_in: 0 Bytes_out: 39

[Id: wGpwCi6PIGxn5QnIc9i8fYgYvx2Sbly4] 2023/05/23 19:37:27 logger.go:23:  Time: 2023-05-23T19:37:27+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 320.7134ms Bytes_in: 0 Bytes_out: 90

[Id: 9XpsZto3o5bq3bSEMiYpjx48yXRvDOu4] 2023/05/23 19:37:31 logger.go:23:  Time: 2023-05-23T19:37:31+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 127.4387ms Bytes_in: 0 Bytes_out: 90

[Id: M4s69sRiv1OlsB2hZ6UXaFUVjBO8j1yn] 2023/05/23 19:38:26 logger.go:23:  Time: 2023-05-23T19:38:26+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 260.4376ms Bytes_in: 0 Bytes_out: 90

[Id: C3h1rdDcvwKERmiBMvvh69EJxI7TsCML] 2023/05/23 19:38:38 logger.go:23:  Time: 2023-05-23T19:38:38+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 324.857ms Bytes_in: 0 Bytes_out: 39

[Id: t9MvgmE6fzkMAqYIWE4KkBF9fOFZsGWw] 2023/05/23 19:49:37 logger.go:23:  Time: 2023-05-23T19:49:37+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 308.2021ms Bytes_in: 0 Bytes_out: 39

[Id: zQqieNuWdAwKY7xTksdWllRykRIJin2Y] 2023/05/23 19:49:44 logger.go:23:  Time: 2023-05-23T19:49:44+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 168.2007ms Bytes_in: 0 Bytes_out: 90

[Id: 1PDeu2utnXnE6wpuFL5AbJnltpTdyI1S] 2023/05/23 19:49:56 logger.go:23:  Time: 2023-05-23T19:49:56+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/chat-history?u1=user03&u2=user01 Status: 200 Latency: 169.2986ms Bytes_in: 0 Bytes_out: 90

[Id: daXSzeCMzLNIQwdAzGVUgO87NFcYVE6F] 2023/05/23 19:50:27 logger.go:23:  Time: 2023-05-23T19:50:27+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: OPTIONS Uri: /api/rooms/contact-list Status: 204 Latency: 20.3734ms Bytes_in: 0 Bytes_out: 0

[Id: ktBpENAAf1PMfnGtFrCrPlTzhINWQot2] 2023/05/23 19:50:30 logger.go:23:  Time: 2023-05-23T19:50:30+07:00 Remote_IP: ::1 Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50 Host: localhost:8080 Method: GET Uri: /api/rooms/contact-list Status: 200 Latency: 2.5703239s Bytes_in: 0 Bytes_out: 39

